"Yıl 
Year";Toplam Total;"Erkek
Male";Kadın Female
2004;1,3;2,3;0,4
2005;1,7;3,1;0,3
2007;6,4;9,0;3,9
2008;9,8;14,0;5,9
2009;11,1;14,5;7,7
2010;14,0;18,7;9,6
2011;15,7;20,0;11,5
2012;17,7;22,0;13,5
2013;17,9;22,5;13,4
2014;22,4;28,2;17,0
2015;25,9;31,2;20,9
2016;34,7;40,1;29,3
2017;43,0;46,5;39,8
2018;54,0;57,3;50,9
2019;59,0;60,2;57,8
2020;64,1;66,4;61,9
2021;67,5;69,3;65,8
2022;71,6;72,5;70,8
2023;75,9;76,9;75,0
2024;77,6;78,3;76,9
