"Yıl 
Year";Toplam Total;"Erkek
Male";Kadın Female
2004;29,8;37,7;19,3
2005;32,9;36,5;27,1
2007;59,8;66,8;49,1
2008;64,4;69,7;57,0
2009;70,6;76,0;62,4
2010;69,9;72,1;66,6
2011;73,3;75,6;70,2
2012;76,4;79,7;71,3
2013;74,5;76,5;71,6
2014;79,2;81,1;76,7
2015;80,6;81,7;78,8
2016;86,4;86,8;85,9
2017;89,8;90,3;89,0
2018;92,3;91,7;93,2
2019;94,5;94,5;94,6
2020;94,8;94,8;94,8
2021;96,4;95,9;97,0
2022;96,4;96,3;96,6
2023;97,2;96,7;98,0
2024;97,6;97,2;98,2
