"Yıl 
Year";Toplam Total;"Erkek
Male";Kadın Female
2004;60,1;61,4;58,0
2005;62,6;65,7;57,9
2007;82,7;83,9;80,7
2008;86,6;87,6;85,1
2009;87,7;89,0;85,8
2010;89,6;90,1;88,8
2011;91,0;91,5;90,3
2012;93,0;93,1;92,8
2013;91,7;91,9;91,4
2014;93,6;93,7;93,5
2015;94,1;94,0;94,3
2016;95,6;95,6;95,7
2017;97,0;96,9;97,3
2018;97,7;97,6;98,0
2019;98,0;97,5;98,7
2020;98,7;98,2;99,2
2021;99,1;98,8;99,4
2022;99,0;98,5;99,4
2023;99,4;99,3;99,5
2024;99,4;99,4;99,4
