"Yıl 
Year";Toplam Total;"Erkek
Male";Kadın Female
2004;0,7;2,0;0,2
2005;0,4;1,0;0,2
2007;0,8;2,6;0,2
2008;2,1;6,5;0,8
2009;2,1;5,6;1,1
2010;2,8;8,7;1,1
2011;2,8;6,8;1,6
2012;3,5;10,0;1,6
2013;2,6;6,1;1,5
2014;3,2;9,0;1,6
2015;6,1;11,7;4,6
2016;7,4;14,1;5,6
2017;12,2;19,6;10,0
2018;16,2;25,4;13,6
2019;18,7;25,3;17,0
2020;22,3;31,6;19,7
2021;28,9;37,4;27,0
2022;30,5;37,1;28,9
2023;35,3;39,0;34,4
2024;39,0;43,0;38,0
